Price,Close,High,Low,Open,Volume
Ticker,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L
Date,,,,,
2000-03-01,381.64459228515625,384.63332154630956,369.96734988024156,369.96734988024156,20484931
2000-03-02,397.49755859375,401.1360114422136,344.35061278255785,389.1811570893618,8930211
2000-03-03,393.33953857421875,399.576864090732,389.83104659655413,399.44690168226776,10220568
2000-03-06,398.0174560546875,402.82533899190076,391.26036946087794,396.32817715548873,1609147
2000-03-07,393.0794982910156,399.18685870378897,391.13032405118486,393.72919403464635,3567903
2000-03-08,378.9157409667969,395.0287266537205,378.1360537050074,389.83095659005176,8395900
2000-03-09,379.4355163574219,386.58240385411347,372.28859985774153,373.06828720560657,7943782
2000-03-10,375.27728271484375,384.63323970914035,373.58800383996135,381.3846443362036,12223924
2000-03-13,344.3506164550781,370.07945034898296,344.3506164550781,370.07945034898296,3169921
2000-03-14,365.79144287109375,367.48075098229447,348.8987678009357,352.5371637979487,7182747
2000-03-15,357.21514892578125,363.8422735338165,349.4185078550443,354.87614500336525,4603495
2000-03-16,385.1529846191406,389.83093389968093,361.2433307268984,361.2433307268984,12978040
2000-03-17,380.7348937988281,393.7292454117481,377.2264319146822,391.78009992055587,6584983
2000-03-20,395.2886657714844,396.3282489775237,375.537222922537,380.7349939377791,7192532
2000-03-21,405.94403076171875,408.7705459382251,393.07961051960655,393.07961051960655,3772629
2000-03-22,397.8875732421875,410.6220617131065,393.72935635201475,409.32261168417966,9143493
2000-03-23,394.1190490722656,401.525829918661,388.5314510977056,395.0286405081833,2285269
2000-03-24,398.9270324707031,400.22648219020004,389.1812175804453,394.50894982918885,2343487
2000-03-27,386.71234130859375,396.8479571443366,383.7236125086537,396.8479571443366,4371607
2000-03-28,371.7688903808594,386.582459054735,370.3395358798127,382.0344707288694,3637062
2000-03-29,370.3393859863281,389.571030796756,368.65010734628515,372.9382271198107,7718359
2000-03-30,365.1416320800781,373.9777670117544,361.43821254583645,373.7179003098975,7193776
2000-03-31,378.52593994140625,382.0344316383244,360.59371027458127,360.59371027458127,7122760
2000-04-03,384.2869567871094,399.0518351724184,372.9804619480816,387.4793565052284,4354229
2000-04-04,388.4104309082031,399.05180200275447,384.41990190324333,384.41990190324333,7790691
2000-04-05,375.50775146484375,388.41038415948225,372.5813658593574,388.41038415948225,1097041
2000-04-06,397.0564880371094,398.78572391995795,380.8283908395357,383.08968331533697,6369799
2000-04-07,397.3224792480469,397.7214993440426,379.6311632537975,391.07065969786123,3217050
2000-04-10,393.33203125,399.0517360951959,386.1825931720131,398.5197091929468,7314788
2000-04-11,378.4341735839844,387.08029549245816,378.30113714018745,385.75010918853553,5739548
2000-04-12,371.9162292480469,384.81889011994303,332.5430942966752,384.4198105941327,9515249
2000-04-13,357.1512756347656,365.7973648303623,356.0871329016006,365.2653379972759,13609081
2000-04-14,334.67144775390625,361.1418975123423,332.0111050726722,361.1418975123423,8989174
2000-04-17,305.2745666503906,345.8448532940859,305.2745666503906,345.8448532940859,5457502
2000-04-18,324.2960510253906,325.8922503558309,305.93963996933206,316.58100842426575,6762881
2000-04-19,322.3008117675781,335.6690273357817,315.9160136614527,335.4694875504641,17738707
2000-04-20,329.2178039550781,335.37117774686607,319.2414654808505,319.2414654808505,22843425
2000-04-21,329.2178039550781,329.2178039550781,329.2178039550781,329.2178039550781,0
2000-04-24,329.2178039550781,329.2178039550781,329.2178039550781,329.2178039550781,0
2000-04-25,336.6666564941406,339.1939622139458,323.8969727350779,338.7949123798187,24100827
2000-04-26,339.3270263671875,368.19174225584896,333.87327558046127,337.59779048522563,7357968
2000-04-27,349.43634033203125,355.6881018065985,336.4006420323963,336.4006420323963,6814165
2000-04-28,359.41265869140625,364.0682806151113,343.18455955190285,343.18455955190285,4790126
2000-05-01,359.41265869140625,359.41265869140625,359.41265869140625,359.41265869140625,0
2000-05-02,376.3058776855469,385.3510493145335,367.1276696161883,371.91632831142556,8489296
